Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,D5,12728,25983,28104,10876.87,39.27,38.01
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,D7,10993,86540,92438,41814.34,46.4,42.06
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,E5,12847,25973,25668,10929.37,39.27,38.14
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,E7,10743,89014,99824,43116.89,46.6,41.17
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,F5,12542,18759,20878,7751.52,39.16,40.03
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,F7,11283,82672,94833,48615.69,59.07,56.16
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,G5,11683,19343,24472,7663.73,37.91,38.3
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,G7,11338,78939,94745,50666.86,64.8,68.12
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,H5,11429,19221,20425,7908.93,39.35,40.65
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,H7,11711,77662,94851,52293.03,68.16,73.39
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,A5,11061,24519,29472,10683.62,40.92,40.98
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,A6,13242,18043,19111,7274.68,38.57,39.37
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,A7,11189,84129,85550,41526.09,47.5,41.9
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,A8,13041,71338,99826,51883.85,75.01,91.1
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,B5,11216,25344,32404,10298.98,38.67,38.97
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,B6,14981,16845,19551,7368.26,41.39,43.26
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,B7,10198,78131,90036,32763.68,39.6,39
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,B8,12941,72281,87693,48876.38,70.36,74.75
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,C5,12617,27444,34014,12006.25,41.36,41.37
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,C6,13792,18332,18301,8350.99,42.55,43.34
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,C7,10988,90953,113672,48970.39,52.21,47.53
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,C8,12114,76254,110782,61101.09,81.31,107.61
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,D5,12594,30350,30922,12289.47,38.6,38.05
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,D7,11069,95963,92410,47916.96,48.61,44.39
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,E5,11948,28589,32362,12218.43,40.64,40.15
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,E7,11694,89029,92450,46294.66,50.43,45.39
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,F5,12920,18962,21842,7746.18,39.25,39.49
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,F7,12010,77496,97493,54135.16,70.36,80.87
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,G5,12815,17612,21368,7678.6,41.44,42.77
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,G7,12473,74909,97343,54676.7,73.48,88.74
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,H5,13205,16909,16441,7940.09,43.95,43.91
Rep3-0Pi-Rep2-H2O2,d061221-120min-0Pi-M24KO,120min,H7,11810,76004,92431,54796.26,73.53,84.71
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,A5,9860,86659,97420,50401.23,57.48,53.75
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,B5,9505,74133,83523,29301.36,37.71,38.52
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,C5,10137,80077,94897,46789.13,56.66,54.87
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,D5,13122,80512,85462,40895.85,49.94,43.25
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,E5,11927,83774,97329,46176.34,54.05,48.68
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,F5,11331,83126,107916,58363.29,71.72,81.7
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,G5,11268,84498,99903,56496.87,68.69,72.22
Rep3-H2O2-Ctrl,d062621-120min-H2O2-M24KO,120min,H5,12151,76805,105050,56921.3,75.79,92.74
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,A5,10753,81170,90021,46416.08,56.5,52.92
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,A6,12905,35168,102433,54525.98,97.76,126.17
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,A7,10484,7360,9306,4216.54,51.18,48.87
